Material,Plant,Plant Description,Description,Language,Material Type,Base Unit of Measure,Flag Material for Deletion at Plant Level,Purchasing Group,Maintenance status,MRP group,ABC Indicator,Valid from,MRP Type,Reorder Point,Planning cycle,Planning time fence,MRP Controller,Lot size,Minimum Lot Size,Maximum Lot Size,Maximum stock level,Takt time,Rounding Value,Assembly scrap (%),Rounding Profile,Unit of Measure Grp,Procurement type,Special procurement,Quota arr. Usage,Backflush,JIT delivery sched.,Co-product,Bulk Material,Batch entry,Prod. Stor. Location,Default supply area,Storage loc. For EP,Stock determ. Group,In-house production,GR Processing Time,SchedMargin key,Planned Deliv. Time,Planning calendar,Safety Stock ,Min safety stock,Safety time ind.,Stime period profile,Service level (%),Coverage profile,Safety time/act. Cov.,Period Indicator,Fiscal Year Variant,Splitting indicator,Strategy group,Consumption mode,Fwd consumption per.,Bwd consumption per.,Mixed MRP,Availability check,Cross-project,Tot. repl. Lead time,Selection method,Individual/coll.,Version Indicator,Component scrap (%),Requirements group,MRP dep.requirements,Discontin. Ind.,Eff.-out,Follow-up matl,Repetetive mfg,REM profile,Action control,Fair share rule,Push distribution,Deployment horizon,Production unit,Unit of Issue,Prodn Supervisor,Prod.Sched.Profile,Serial no. profile,SerLevel,P-S matl status,Mat. Grouping,Overall profile,Ins. Stock,BatchManagement,Critical Part,Batch rec. req.,Underdely tol.,Overdely tol.,Unlimited,Setup time,Processing time,Interoperation,Base quantity,cell name,cell value,cognitive score 2,comment,advice
4.0106122e+12,8318.0,CHAMPAIGN IL MU,CAP A1 STK SCE 5&10Z 02/02,E,Z004,EA,,PC5,DEBVQGLS,,,20160526.0,PD,0.0,,0.0,PE9,HB,3120000.0,3120000.0,4000000.0,0.0,0.0,0.0,,,F,,Y,1.0,,,,,0958,,0958,300.0,0.0,0.0,0.0,10.0,M2T,1000000.0,0.0,,,0.0,,0.0,P,N1,,,,0.0,0.0,,Z6,,20.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,3120000.0,6,Decision Tree Analysis (numerical),107083.886
4.0500039001e+12,8318.0,CHAMPAIGN IL MU,FLM FS M&C FRZN UNPRT FORM 9/3,E,Z004,EA,,P65,DELBSVQG,,,,ND,0.0,,0.0,ZZZ,ZC,1230856.0,0.0,0.0,0.0,307714.0,0.0,,,F,,Y,1.0,,,,,0952,,0300,300.0,0.0,0.0,0.0,14.0,M2F,0.0,0.0,2.0,,0.0,,2.0,P,N1,,,,0.0,0.0,,Z6,,14.0,,,,0.0,T,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,1230856.0,9,Decision Tree Analysis (numerical),661561.955
4.0005781e+12,8318.0,CHAMPAIGN IL MU,PKG MISC SING TEAR TAPE-RED,E,Z004,FT,,P65,LVEDSQBG,,,,ND,0.0,,0.0,ZZZ,ZC,944880.0,0.0,0.0,0.0,0.0,0.0,,,F,,Y,1.0,,,,,0952,,0300,300.0,0.0,0.0,0.0,20.0,MON,0.0,0.0,,,0.0,,0.0,P,N1,,,,0.0,0.0,,Z6,,65.0,,,,0.0,T,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,944880.0,8,Decision Tree Analysis (numerical),17503.099
4.0110766e+12,8318.0,CHAMPAIGN IL MU,CAP A1 STK SCE IPT 15Z 02/10,E,Z004,EA,,PC5,DEBVQGLS,,,20160526.0,PD,0.0,,0.0,PE9,HB,2392000.0,2392000.0,6240000.0,0.0,0.0,0.0,,,F,,Y,1.0,,,,,0958,,0300,300.0,0.0,0.0,0.0,10.0,M2F,500000.0,0.0,,,0.0,,0.0,M,,,,,0.0,0.0,,Z6,,20.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,2392000.0,7,Decision Tree Analysis (numerical),107083.886
4.0500110218e+12,8318.0,CHAMPAIGN IL MU,CAP KR PRBL TWST BLUE W/FITMENT33MM12/01,E,Z004,EA,,PC5,DELBSVQG,,,,PD,0.0,,0.0,PE1,ZC,1125000.0,4500000.0,0.0,0.0,75000.0,0.0,,,F,,Y,1.0,,,,,0951,,0300,300.0,0.0,0.0,0.0,22.0,M2F,0.0,0.0,2.0,,0.0,,4.0,P,N1,,,,0.0,0.0,,Z6,,22.0,,,,0.0,T,,,,4050029127700.0,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,1125000.0,8,Decision Tree Analysis (numerical),136584.586
4.0500076085e+12,8318.0,CHAMPAIGN IL MU,LID KRSD FLIPTOP BLUE 10/05,E,Z004,EA,,PC5,DELBSVQG,,,20151110.0,ND,0.0,,0.0,ZZZ,ZC,2736000.0,2736000.0,0.0,0.0,45600.0,0.0,,,F,,Y,1.0,,,,,0951,,0300,300.0,0.0,0.0,0.0,22.0,M2F,0.0,0.0,2.0,,0.0,,2.0,P,N1,,,,0.0,0.0,,Z6,,66.0,,,,0.0,T,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,2736000.0,6,Decision Tree Analysis (numerical),151199.808
4.0500209532e+12,8318.0,CHAMPAIGN IL MU,POU M&C HS WHITE CHDR 4Z 199073,E,Z004,EA,,P65,DELBSVQG,,,,PD,0.0,,0.0,PF7,ZC,1481670.0,0.0,0.0,0.0,1481670.0,0.0,,,F,,Y,1.0,,,,,0952,,0300,300.0,0.0,0.0,0.0,21.0,M2F,0.0,0.0,2.0,,0.0,,7.0,P,N1,,,,0.0,0.0,,Z6,,66.0,,,,0.0,T,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,1481670.0,8,Decision Tree Analysis (numerical),658836.617
4.0500114497e+12,8318.0,CHAMPAIGN IL MU,CRT M&C DIN DRY ORG 7.25Z 197286,E,Z004,EA,,PK5,DELBSVQG,,,,ND,0.0,,0.0,ZZZ,ZC,816000.0,816000.0,0.0,0.0,0.0,0.0,,,F,,Y,1.0,,,,,0953,,0300,300.0,0.0,0.0,0.0,7.0,M2F,0.0,0.0,2.0,,0.0,,2.0,P,N1,,,,0.0,0.0,,Z6,,66.0,,,,0.0,T,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,816000.0,8,Decision Tree Analysis (numerical),140469.119
4.0500210551e+12,8318.0,CHAMPAIGN IL MU,POU VSC QUESO BLANCO 2.39Z 192926,E,Z004,EA,,P65,DELBSVQG,,,,PD,0.0,,0.0,PF6,ZC,1185336.0,0.0,0.0,0.0,1185336.0,0.0,,,F,,Y,1.0,,,,,0952,,0300,300.0,0.0,0.0,0.0,21.0,M2F,20000.0,0.0,2.0,,0.0,,7.0,P,N1,,,,0.0,0.0,,Z6,,59.0,,,,0.0,T,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,1185336.0,9,Decision Tree Analysis (numerical),658836.617
4.0500209526e+12,8318.0,CHAMPAIGN IL MU,POU M&C HS SHARP CHDR W/BACON 4Z 199073,E,Z004,EA,,P65,DELBSVQG,,,,PD,0.0,,0.0,PF7,ZC,1481670.0,0.0,0.0,0.0,1481670.0,0.0,,,F,,Y,1.0,,,,,0952,,0300,300.0,0.0,0.0,0.0,21.0,M2F,0.0,0.0,2.0,,0.0,,7.0,P,N1,,,,0.0,0.0,,Z6,,66.0,,,,0.0,T,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,1481670.0,8,Decision Tree Analysis (numerical),658836.617
4.050020953e+12,8318.0,CHAMPAIGN IL MU,POU M&C HS HEARTY FOUR CHS 4Z 199073,E,Z004,EA,,P65,DELBSVQG,,,,PD,0.0,,0.0,PF7,ZC,1481670.0,0.0,0.0,0.0,1481670.0,0.0,,,F,,Y,1.0,,,,,0952,,0300,300.0,0.0,0.0,0.0,21.0,M2F,0.0,0.0,2.0,,0.0,,7.0,P,N1,,,,0.0,0.0,,Z6,,66.0,,,,0.0,T,,,,,,,,,,0.0,,,,,,,03,,,,X,,,0.0,0.0,,0.0,0.0,0.0,0.0,Minimum Lot Size,1481670.0,8,Decision Tree Analysis (numerical),658836.617
